code,date,termination_date,timestamp,exact,status,country,provider,mobile_subscriptions_2009,mobile_subscriptions_2010,mobile_subscriptions_2011,mobile_subscriptions_2012,mobile_subscriptions_2013,mobile_subscriptions_2014,mobile_subscriptions_2015,mobile_subscriptions_2016,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,individual_net_usage_2009,individual_net_usage_2010,individual_net_usage_2011,individual_net_usage_2012,individual_net_usage_2013,individual_net_usage_2014,individual_net_usage_2015,individual_net_usage_2016
EAP,,,,,,,,60.7,69.9,79.9,88.7,95.7,100.8,101.4,107.2,6531.55,7879.33,9631.19,10744.20,11860.80,12754.10,13268.20,13512.30,23.77,28.96,32.39,36.07,39.71,42.06,45.21,48.39
EAR,,,,,,,,56.3,68.9,78.4,80.7,84.5,87.5,90.6,96.2,7045.90,8514.34,9565.42,9974.41,10160.70,10529.90,10195.00,10401.90,9.71,12.85,15.48,18.12,20.95,25.48,30.19,33.44
EAS,,,,,,,,64.9,73.7,83.3,91.6,98.3,103.3,104.1,109.6,14564.50,16938.80,19639.20,21019.10,21262.50,21900.00,21766.90,22480.30,29.51,34.23,37.37,40.71,44.58,46.81,49.79,52.80
ECA,,,,,,,,117.9,122.4,119.3,121.8,126.0,127.5,128.8,129.0,2655.25,3156.26,3891.87,4111.01,4369.24,4078.85,3121.18,2991.82,27.74,35.88,40.79,48.70,52.87,56.90,60.26,63.67
ECS,,,,,,,,119.3,120.1,120.3,122.6,125.2,125.2,125.1,125.1,20443.20,20924.70,23182.60,22340.70,23349.20,23654.70,20364.60,20273.80,50.57,56.12,58.83,63.49,66.31,68.94,71.16,73.91
ECU,,,,,,,,89.7,98.5,100.6,106.2,105.6,103.9,79.8,84.3,62.52,69.56,79.28,87.92,95.13,101.73,99.29,98.61,24.60,29.03,31.37,35.14,40.28,45.59,48.94,54.06
EGY,10/18/2015,12/30/2015,1445126400,Exact,Added,Egypt,Etisalat,72.1,90.5,105.1,119.9,121.5,114.3,111.0,113.7,188.98,218.89,236.00,279.37,288.59,305.53,332.70,332.79,20.00,21.60,25.60,26.40,29.40,33.89,37.82,39.21
EMU,,,,,,,,120.4,116.5,119.4,120.7,121.7,120.0,119.3,119.1,12908.60,12645.30,13623.30,12639.50,13190.80,13476.50,11661.90,11934.10,67.13,71.04,72.00,74.09,75.82,77.00,78.67,80.45
ERI,,,,,,,,2.5,3.2,4.1,5.0,5.6,6.4,7.0,7.3,1.86,2.12,2.61,0.00,0.00,0.00,0.00,0.00,0.54,0.61,0.70,0.80,0.90,0.99,1.08,1.18
ESP,,,,,,,,111.6,111.3,113.1,108.4,106.9,107.9,108.2,109.7,1499.10,1431.62,1488.07,1336.02,1361.85,1376.91,1197.79,1237.26,62.40,65.80,67.09,69.81,71.64,76.19,78.69,80.56
EST,,,,,,,,120.5,127.3,139.5,154.9,149.7,147.8,148.7,148.7,19.65,19.49,23.17,23.04,25.14,26.22,22.57,23.34,72.50,74.10,76.50,78.39,80.00,84.24,88.41,87.24
ETH,,,,,,,,4.8,7.9,15.8,22.4,27.3,31.6,42.8,50.5,32.44,29.93,31.95,43.31,47.65,55.61,64.46,72.37,0.54,0.75,1.10,2.90,4.60,7.70,11.60,15.37
EUU,,,,,,,,120.5,118.1,120.8,122.7,123.8,122.4,121.3,121.1,17101.50,16992.70,18352.60,17290.20,18026.90,18632.40,16410.70,16487.30,67.22,70.64,71.52,73.71,75.54,77.11,78.43,80.77
FCS,,,,,,,,32.2,38.1,44.9,50.6,58.5,67.6,71.9,69.2,539.47,643.40,700.48,756.98,810.58,852.77,770.05,744.25,3.88,6.22,6.89,8.51,10.32,12.41,15.49,17.49
FIN,,,,,,,,144.1,156.3,165.9,172.3,136.6,139.7,135.4,134.5,251.50,247.80,273.67,256.71,269.98,272.61,232.44,238.50,82.49,86.89,88.71,89.88,91.51,86.53,86.42,87.70
FJI,,,,,,,,75.1,81.1,83.8,98.2,105.6,98.8,108.2,103.3,2.87,3.14,3.77,3.97,4.19,4.47,4.39,4.70,17.00,20.00,28.00,33.74,35.20,37.40,42.50,46.51
FRA,,,,,,,,92.1,91.4,94.1,97.4,98.5,101.2,102.6,103.5,2693.83,2646.84,2862.68,2681.42,2808.51,2849.31,2433.56,2465.45,71.58,77.28,77.82,81.44,81.92,83.75,84.69,85.62
FRO,,,,,,,,114.9,119.9,118.0,118.6,116.7,117.8,107.5,109.9,2.26,2.30,2.47,2.36,2.61,2.81,2.48,0.00,75.18,75.20,80.73,85.34,90.00,93.30,94.20,95.11
FSM,,,,,,,,26.4,26.6,26.7,30.2,30.3,,21.5,22.2,0.28,0.30,0.31,0.33,0.32,0.32,0.32,0.33,15.35,20.00,22.80,25.97,27.80,29.65,31.50,33.35
GAB,5/1/2016,,1462060800,Not exact,Added,Gabon,Airtel,95.4,103.5,148.7,156.7,164.2,171.4,161.1,144.2,12.07,14.36,18.19,17.17,17.59,18.18,14.26,14.21,9.50,13.00,18.00,24.00,30.54,38.07,45.78,48.05
GBR,,,,,,,,124.0,123.6,123.6,124.8,124.6,123.6,124.1,122.3,2382.83,2441.17,2619.70,2662.09,2739.82,3022.83,2885.57,2647.90,83.56,85.00,85.38,87.48,89.84,91.61,92.00,94.78
GEO,,,,,,,,64.5,90.6,101.3,107.8,115.0,124.9,129.0,129.1,10.77,11.64,14.43,15.85,16.14,16.51,13.99,14.38,20.07,26.90,31.52,36.94,43.30,44.00,47.57,50.00
GHA,1/1/2015,,1420070400,Not exact,Added,Ghana,Airtel,63.8,71.9,85.3,101.0,108.2,114.8,129.7,139.1,25.98,32.17,39.57,41.94,47.81,38.62,37.54,42.69,5.44,7.80,9.00,10.60,15.00,25.52,31.45,34.67
GIB,,,,,,,,97.7,102.6,111.1,118.7,,129.5,141.2,155.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.07,65.00,65.00,65.02,,,,94.44
GIN,10/27/2015,,1445904000,Missing Data,Added,Guinea,Cellcom,32.9,36.8,43.5,48.8,63.3,72.1,87.2,85.3,6.72,6.86,6.79,7.39,8.38,8.79,8.77,8.20,0.94,1.00,2.00,3.10,4.50,6.40,8.20,9.80
GMB,,,,,,,,80.6,88.0,80.8,85.2,100.0,119.6,137.8,139.6,0.90,0.95,0.90,0.91,0.90,0.83,0.91,0.96,7.63,9.20,10.87,12.45,14.00,15.56,16.50,18.50
GNB,6/14/2015,,1434240000,Missing Data,Added,Guinea-Bissau,MTN,36.1,42.7,45.1,63.1,55.2,63.5,69.3,70.3,0.83,0.85,1.10,0.99,1.05,1.06,1.04,1.16,2.30,2.45,2.67,2.89,3.10,3.32,3.54,3.76
GNQ,,,,,,,,29.5,57.4,66.9,68.1,67.5,66.4,66.7,65.9,15.03,16.30,21.33,22.39,21.94,21.74,12.60,10.68,2.13,6.00,11.50,13.94,16.40,18.86,21.32,23.78
GRC,,,,,,,,119.8,110.6,109.1,120.1,112.5,109.1,113.0,112.8,330.00,299.36,287.80,245.67,239.86,237.03,195.54,192.69,42.40,44.40,51.65,55.07,59.87,63.21,66.84,69.09
GRD,10/13/2016,,1476316800,Not exact,Added,Grenada,Digicel,109.7,116.5,115.0,123.2,125.6,110.2,112.3,111.1,0.77,0.77,0.78,0.80,0.84,0.91,1.00,1.06,24.05,27.00,30.00,32.00,35.00,51.60,53.81,55.86
GRL,,,,,,,,94.5,101.4,103.7,104.7,106.0,106.4,106.5,,2.32,2.31,2.52,2.41,2.48,2.55,2.22,0.00,62.83,63.00,64.00,64.90,65.80,66.70,67.60,68.50
GTM,3/31/2015,,1427760000,Exact,Added,Guatemala,Tigo,123.7,126.0,132.5,137.8,140.4,106.6,111.5,115.3,37.73,41.34,47.65,50.39,53.85,58.72,63.77,68.76,9.30,10.50,12.30,16.00,19.70,23.40,28.81,34.51
GUM,,,,,,,,,,,,,,,,4.78,4.90,4.93,5.20,5.34,5.53,5.70,5.79,50.64,54.04,57.70,61.53,65.40,69.27,73.14,77.01
GUY,,,,,,,,62.5,71.3,66.9,68.8,69.4,70.5,67.2,66.4,2.06,2.27,2.58,2.86,2.99,3.08,3.20,3.50,23.90,29.90,30.00,30.50,31.00,32.00,34.00,35.66
HIC,,,,,,,,106.9,108.8,112.7,115.2,117.1,121.1,123.2,125.9,43140.70,45206.80,48779.70,48815.00,49345.60,50359.60,47581.20,48561.00,70.19,72.28,72.82,75.53,76.84,78.47,80.01,81.97
HKG,,,,,Planned,Hong Kong,,179.8,195.7,215.5,229.2,235.6,233.6,228.7,234.0,214.05,228.64,248.51,262.63,275.70,291.46,309.40,320.91,69.40,72.00,72.20,72.90,74.20,79.87,84.95,87.30
HND,10/30/2014,,1414627200,Missing Data,Added,Honduras,Tigo,112.3,124.7,103.7,92.9,95.9,93.5,95.5,91.2,14.59,15.84,17.71,18.53,18.50,19.76,20.84,21.52,9.80,11.09,15.90,18.12,17.80,19.08,27.62,30.00
HPC,,,,,,,,30.9,36.9,45.3,51.4,57.6,63.2,68.0,67.8,424.04,468.34,522.76,562.95,610.69,648.74,640.00,649.37,3.15,4.93,5.41,6.68,8.14,10.46,13.14,15.67
HRV,,,,,,,,107.5,113.6,118.3,115.4,110.1,104.4,103.8,104.1,62.70,59.67,62.24,56.49,57.77,57.08,48.92,50.71,50.58,56.55,57.79,61.94,66.75,68.57,69.80,72.70
HTI,,,,,,,,37.4,40.4,41.9,59.9,69.4,64.7,68.8,60.5,6.58,6.62,7.52,7.89,8.45,8.78,8.72,8.02,8.10,8.37,9.00,9.80,10.60,11.40,12.20,12.23
HUN,,,,,,,,117.6,119.9,116.9,116.1,116.4,118.1,118.9,119.1,130.59,130.92,140.78,127.86,135.22,140.12,122.88,125.82,62.00,65.00,68.02,70.58,72.64,75.65,72.83,79.26
IBD,,,,,,,,68.3,79.5,88.4,92.7,97.7,100.5,101.3,105.8,16477.60,19973.90,23619.40,25054.60,26510.20,27396.60,25854.30,25981.50,20.39,24.94,28.44,32.21,35.31,38.92,42.85,46.01
IBT,,,,,,,,61.0,71.0,79.6,84.3,89.4,93.0,94.3,97.8,17607.30,21426.10,25269.40,26832.40,28441.60,29483.40,27877.60,27973.40,16.89,20.63,23.49,26.66,29.35,32.74,36.36,39.28
IDA,,,,,,,,37.1,43.8,51.5,57.6,63.8,69.7,73.1,73.8,1128.47,1456.06,1651.39,1780.53,1936.82,2096.64,2034.18,2001.37,5.03,6.54,7.51,9.01,10.79,13.70,16.62,19.07
IDB,,,,,,,,50.9,57.4,62.7,68.5,72.8,75.9,75.6,77.4,479.92,707.23,810.78,891.83,969.50,1052.62,984.51,923.61,8.10,9.54,11.21,13.16,15.28,17.60,21.01,23.00
IDN,4/20/2015,,1429488000,Exact,Added,Indonesia,Indosat,68.9,87.8,102.5,114.2,125.4,128.8,132.6,149.1,574.51,755.09,892.97,917.87,912.52,890.82,861.26,932.26,6.92,10.92,12.28,14.52,14.94,17.14,21.98,25.37
